73,rd,113121.558,631168.745,1147.483,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.236,HDOP:0.601,VDOP:1.080,TDOP:0.925,GDOP:1.544,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:15:28
74,rd,113122.760,631168.861,1147.305,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.236,HDOP:0.601,VDOP:1.080,TDOP:0.925,GDOP:1.544,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:15:32
75,rd,113124.636,631169.140,1147.862,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.237,HDOP:0.601,VDOP:1.080,TDOP:0.925,GDOP:1.544,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:15:37
76,rd,113123.006,631192.992,1148.685,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:17,AGE:1.0,PDOP:1.238,HDOP:0.602,VDOP:1.082,TDOP:0.926,GDOP:1.546,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:16:06
77,rd,113121.421,631192.757,1147.671,HRMS:0.016,VRMS:0.029,STATUS:FIXED,SATS:18,AGE:2.0,PDOP:1.238,HDOP:0.602,VDOP:1.082,TDOP:0.926,GDOP:1.546,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:16:14
78,rd,113119.765,631192.730,1148.009,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.238,HDOP:0.602,VDOP:1.082,TDOP:0.926,GDOP:1.546,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:16:19
79,rd,113118.024,631192.455,1148.094,HRMS:0.015,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.238,HDOP:0.602,VDOP:1.082,TDOP:0.927,GDOP:1.547,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:16:26
80,rd,113116.293,631192.426,1148.019,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:1.0,PDOP:1.239,HDOP:0.602,VDOP:1.083,TDOP:0.927,GDOP:1.547,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:16:37
81,rd,113114.566,631192.144,1147.590,HRMS:0.016,VRMS:0.028,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.239,HDOP:0.602,VDOP:1.083,TDOP:0.927,GDOP:1.547,NRMS:0.011,ERMS:0.011,DATE:08-26-2025,TIME:11:16:42
82,rd,113113.036,631191.701,1148.635,HRMS:0.016,VRMS:0.029,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.239,HDOP:0.602,VDOP:1.083,TDOP:0.927,GDOP:1.548,NRMS:0.011,ERMS:0.012,DATE:08-26-2025,TIME:11:16:48
83,culvert,113113.011,631194.288,1148.224,HRMS:0.016,VRMS:0.029,STATUS:FIXED,SATS:18,AGE:0.0,PDOP:1.324,HDOP:0.665,VDOP:1.144,TDOP:0.996,GDOP:1.656,NRMS:0.011,ERMS:0.012,DATE:08-26-2025,TIME:11:17:00
